label,ranks,dims_x,dims_y,mode,kernel,global_w,global_h,steps,trial,t_total,t_halo,t_kernel,t_io
ksweep_shared_1024,1,1,1,gpu,shared,1024,1024,500,1,0.034655,0.022220,0.012416,0.000000
io_25,6,3,2,gpu,overlap,12288,12288,500,2,0.265918,0.252697,0.013200,0.000000
io_100,6,3,2,gpu,overlap,12288,12288,500,2,0.304807,0.291340,0.013445,0.000000
ksweep_shared_1024,1,1,1,gpu,shared,1024,1024,500,2,0.035012,0.022593,0.012400,0.000000
io_0,6,3,2,gpu,overlap,12288,12288,500,3,0.295004,0.281751,0.013231,0.000000
ksweep_shared_1024,1,1,1,gpu,shared,1024,1024,500,3,0.034447,0.022129,0.012299,0.000000
io_25,6,3,2,gpu,overlap,12288,12288,500,3,0.286062,0.272951,0.013089,0.000000
io_100,6,3,2,gpu,overlap,12288,12288,500,3,0.284433,0.271276,0.013136,0.000000
ksweep_shared_16384,1,1,1,gpu,shared,16384,16384,500,2,1.597965,0.023979,1.573967,0.000000
ksweep_naive_16384,1,1,1,gpu,naive,16384,16384,500,2,1.146170,0.024399,1.121751,0.000000
ksweep_shared_16384,1,1,1,gpu,shared,16384,16384,500,3,1.597041,0.024431,1.572590,0.000000
ksweep_naive_16384,1,1,1,gpu,naive,16384,16384,500,3,1.145519,0.024389,1.121109,0.000000
cpu_4,4,2,2,cpu,naive,8192,8192,500,3,33.627832,0.107098,33.520663,0.000000
cpu_1,1,1,1,cpu,naive,8192,8192,500,1,134.019880,0.072545,133.947210,0.000000
cpu_1,1,1,1,cpu,naive,8192,8192,500,2,134.145128,0.073938,134.071060,0.000000
cpu_1,1,1,1,cpu,naive,8192,8192,500,3,134.043609,0.073648,133.969832,0.000000
breakdown_16,16,4,4,gpu,overlap,32768,32768,1000,1,0.907781,0.880022,0.027716,0.000000
breakdown_16,16,4,4,gpu,overlap,32768,32768,1000,2,0.875535,0.848280,0.027210,0.000000
breakdown_16,16,4,4,gpu,overlap,32768,32768,1000,3,0.878873,0.851912,0.026917,0.000000
cpu_16,16,4,4,cpu,naive,8192,8192,500,1,8.497568,0.116203,8.381326,0.000000
cpu_16,16,4,4,cpu,naive,8192,8192,500,2,8.515395,0.146702,8.368669,0.000000
cpu_16,16,4,4,cpu,naive,8192,8192,500,3,8.507312,0.129802,8.377487,0.000000
